source_country,destination_country,gsv
"Congo, Democratic Republic of the",Italy,4692
"Congo, Democratic Republic of the",Benin,3880
"Congo, Democratic Republic of the",Ghana,2795
"Congo, Democratic Republic of the",C̫te d'Ivoire,1729
"Congo, Democratic Republic of the",Rwanda,1708
"Congo, Democratic Republic of the",Senegal,1513
"Congo, Democratic Republic of the",Cameroon,1199
"Congo, Democratic Republic of the",Congo,1047
"Congo, Democratic Republic of the",Tanzania,922
"Congo, Democratic Republic of the",Uganda,627
"Congo, Democratic Republic of the",Gabon,301
"Congo, Democratic Republic of the",Mali,198
"Congo, Democratic Republic of the",Luxembourg,91
"Congo, Democratic Republic of the",United Arab Emirates,19
"Congo, Democratic Republic of the",Monaco,11
"Congo, Democratic Republic of the",Zambia,2
"Congo, Democratic Republic of the",South Africa,2
"Congo, Democratic Republic of the",Indonesia,1
"Congo, Democratic Republic of the",Turkey,1
"Congo, Democratic Republic of the",Egypt, -   
Cook Islands,Philippines,86725
Cook Islands,India,18062
Cook Islands,France,5093
Cook Islands,Malaysia, -   
Costa Rica,Spain,19260
Costa Rica,Viet Nam,12609
Costa Rica,Kenya,1852
Costa Rica,Ghana,646
Costa Rica,Tanzania,141
Croatia,India,1695417
Croatia,Bangladesh,1210861
Croatia,Belgium,630395
Croatia,Philippines,375396
Croatia,Spain,186172
Croatia,Portugal,146741
Croatia,Kenya,141401
Croatia,Viet Nam,134528
Croatia,Tanzania,126286
Croatia,Benin,86742
Croatia,Ghana,85362
Croatia,Germany,75646
Croatia,Lithuania,65546
Croatia,Uganda,42754
Croatia,Luxembourg,31329
Croatia,Italy,29759
Croatia,Netherlands,20214
Croatia,France,16991
Croatia,South Africa,9942
Croatia,Austria,9141
Croatia,C̫te d'Ivoire,5003
Croatia,Egypt,3635
Croatia,Ireland,1075
Croatia,Finland,954
Croatia,Rwanda,653
Croatia,Estonia,625
Croatia,Indonesia,439
Croatia,Latvia,276
Croatia,Cameroon,205
Croatia,Zambia,5
Cura̤ao,Netherlands,299904
Cura̤ao,India,15044
Cura̤ao,Uganda,13070
Cura̤ao,Spain,7871
Cura̤ao,France,6445
Cura̤ao,Belgium,5966
Cura̤ao,Italy,4285
Cura̤ao,Viet Nam,329
Cura̤ao,Kenya,141
Cyprus,Bangladesh,21581700
Cyprus,India,5446731
Cyprus,Philippines,682565
Cyprus,Lithuania,632317
Cyprus,Liberia,494641
Cyprus,Belgium,477001
Cyprus,Kenya,308854
Cyprus,Viet Nam,259083
Cyprus,Uganda,234702
Cyprus,Ghana,180382
Cyprus,Netherlands,173916
Cyprus,Germany,159325
Cyprus,Cameroon,153880
Cyprus,Spain,138075
Cyprus,Portugal,134695
Cyprus,C̫te d'Ivoire,103735
Cyprus,Benin,103202
Cyprus,Italy,93993
Cyprus,France,80306
Cyprus,Austria,45797
Cyprus,Egypt,43262
Cyprus,Latvia,29933
Cyprus,Senegal,28221
Cyprus,United Kingdom,23395
Cyprus,Guinea,17901
Cyprus,Tanzania,17538
Cyprus,Estonia,15044
Cyprus,Finland,13841
Cyprus,Switzerland,13806
Cyprus,Luxembourg,9527
Cyprus,Greece,8437
Cyprus,Malaysia,7841
Cyprus,Mongolia,6220
Cyprus,Sierra Leone,6153
Cyprus,Bulgaria,6031
Cyprus,"Congo, Democratic Republic of the",5714
Cyprus,Cyprus,4478
Cyprus,Indonesia,4280
Cyprus,Zimbabwe,3797
Cyprus,Ireland,1573
Cyprus,South Africa,1570
Cyprus,Gabon,1151
Cyprus,Mali,1047
Cyprus,Colombia,750
Cyprus,Rwanda,641
Cyprus,Poland,572
Cyprus,Malawi,497
Cyprus,Romania,103
Cyprus,Guinea-Bissau,43
Cyprus,Zambia,24
Cyprus,Mozambique,22
Czechia,Viet Nam,58196853
Czechia,Ghana,3964117
Czechia,Bangladesh,2683910
Czechia,Kenya,1083774
Czechia,India,766353
Czechia,Tanzania,692336
Czechia,Uganda,222517
Czechia,Benin,180424
Czechia,Philippines,101486
Czechia,Lithuania,95341
Czechia,Cameroon,71508
Czechia,Senegal,58314
Czechia,Belgium,51261
Czechia,Germany,40794
Czechia,Spain,36881
Czechia,C̫te d'Ivoire,24271
Czechia,Italy,18248
Czechia,Indonesia,16108
Czechia,France,12488
Czechia,Zambia,10946
Czechia,Portugal,10178
Czechia,Rwanda,7855
Czechia,Latvia,6520
Czechia,Netherlands,6417
Czechia,Colombia,5142
Czechia,Austria,4093
Czechia,Mozambique,780
Czechia,Finland,534
Czechia,Mongolia,442
Czechia,Gabon,414
Czechia,Togo,414
Czechia,Luxembourg,413
Czechia,Ireland,178
Czechia,Nepal,109
Czechia,Ethiopia,50
Denmark,Viet Nam,14352709
Denmark,India,3569341
Denmark,Kenya,2760083
Denmark,Ghana,2567470
Denmark,Uganda,2340391
Denmark,Lithuania,1502842
Denmark,Tanzania,1353769
Denmark,Philippines,1284717
Denmark,Spain,1177926
Denmark,Germany,864977
Denmark,Bangladesh,679228
Denmark,Latvia,454883
Denmark,C̫te d'Ivoire,452371
Denmark,Italy,442736
Denmark,Belgium,408413
Denmark,Benin,392038
Denmark,Portugal,315626
Denmark,Netherlands,244544
Denmark,France,237918
Denmark,Mozambique,234058
Denmark,Egypt,181204
Denmark,Cameroon,142909
Denmark,"Congo, Democratic Republic of the",120314
Denmark,Senegal,111484
Denmark,Rwanda,101212
Denmark,Malaysia,90331
Denmark,Austria,83862
Denmark,South Africa,24370
Denmark,Ireland,24025
Denmark,Estonia,23307
Denmark,Finland,21870
Denmark,Liberia,11781
Denmark,Luxembourg,10169
Denmark,Zambia,9869
Denmark,Malawi,8076
Denmark,Mongolia,8002
Denmark,Gabon,7697
Denmark,Mali,7376
Denmark,Indonesia,6412
Denmark,Sierra Leone,5752
Denmark,Burundi,4645
Denmark,Zimbabwe,3136
Denmark,Bulgaria,1933
Denmark,Guinea-Bissau,1516
Denmark,Gambia,1119
Denmark,Colombia,1073
Denmark,Guinea,740
Djibouti,India,1581802
Djibouti,Kenya,65603
Djibouti,Philippines,63272
Djibouti,France,7127
Djibouti,Tunisia,1751
Djibouti,Ghana,1501
Djibouti,Rwanda,657
Djibouti,Bangladesh,386
Djibouti,Thailand,39
Dominica,India,409268
Dominica,Kenya,3432
Dominica,Ghana,1026
Dominica,France,714
Dominica,Spain,652
Dominica,Viet Nam,65
Dominica,Italy,46
Dominican Republic,Spain,3296993
Dominican Republic,Italy,72178
Dominican Republic,Germany,29572
Dominican Republic,Colombia,4501
Dominican Republic,Viet Nam,2373
Dominican Republic,Kenya,292
Dominican Republic,Tanzania,49
Ecuador,Spain,3146849
Ecuador,Colombia,527646
Ecuador,Italy,380383
Ecuador,Germany,259162
Ecuador,France,253813
Ecuador,Portugal,192188
Ecuador,Belgium,116500
Ecuador,Netherlands,52477
Ecuador,Lithuania,48297
Ecuador,India,35581
Ecuador,Finland,20072
Ecuador,Austria,18129
Ecuador,Viet Nam,7289
Ecuador,Kenya,3862
Ecuador,Tanzania,1823
Ecuador,Ghana,1022
Ecuador,Uganda,376
Ecuador,Ireland,186
Egypt,Kenya,44624
Egypt,Viet Nam,24811
Egypt,Uganda,17701
Egypt,Germany,7248
Egypt,Tanzania,5345
Egypt,Ghana,5026
Egypt,Italy,2804
Egypt,Malaysia,2265
Egypt,Spain,1691
Egypt,Belgium,1081
Egypt,Philippines,147
Egypt,India,142
Egypt,Lithuania,134
El Salvador,Spain,41226
El Salvador,Ghana,7037
El Salvador,Kenya,497
El Salvador,Viet Nam,397
El Salvador,Tanzania, -   
Equatorial Guinea,Spain,171142
Equatorial Guinea,France,6576
Equatorial Guinea,Viet Nam,464
Estonia,Lithuania,685310
Estonia,Viet Nam,588821
Estonia,Ghana,414871
Estonia,Kenya,411894
Estonia,India,356950
Estonia,Spain,315832
Estonia,Belgium,244733
Estonia,Germany,224828
Estonia,Uganda,201169
Estonia,Ukraine,193966
Estonia,Cameroon,132315
Estonia,Italy,75843
Estonia,Benin,70653
Estonia,Estonia,68612
Estonia,France,57727
Estonia,Latvia,56310
Estonia,Bangladesh,47898
Estonia,Portugal,35763
Estonia,Tanzania,33506
Estonia,Finland,31270
Estonia,Senegal,28883
Estonia,Philippines,24966
Estonia,Netherlands,24245
Estonia,Egypt,19614
Estonia,Bulgaria,11646
Estonia,Zimbabwe,7668
Estonia,Ireland,6899
Estonia,C̫te d'Ivoire,5478
Estonia,Indonesia,4615
Estonia,Austria,3361
Estonia,Luxembourg,3155
Estonia,"Congo, Democratic Republic of the",1889
Estonia,Mozambique,833
Estonia,Malawi,334
Estonia,Liberia,190
Estonia,Colombia,93
Estonia,Togo,71
Estonia,Rwanda,52
Estonia,Sierra Leone,47
Estonia,South Africa,11
Eswatini,Kenya,76850
Eswatini,Viet Nam,20547
Eswatini,Tanzania,7763
Eswatini,Uganda,2932
Eswatini,Ghana,1035
Ethiopia,Uganda,143838
Ethiopia,Kenya,106600
Ethiopia,Viet Nam,47210
Ethiopia,Tanzania,604
Ethiopia,Ghana,418
Falkland Islands (Malvinas),Kenya,73094
Falkland Islands (Malvinas),Germany,26959
Falkland Islands (Malvinas),Uganda,20452
Falkland Islands (Malvinas),Netherlands,5888
Falkland Islands (Malvinas),Viet Nam,48
Faroe Islands,Ghana,58124
Faroe Islands,Tanzania,8091
Faroe Islands,Kenya,3472
Faroe Islands,Viet Nam,590
Faroe Islands,Uganda,306
Fiji,Bangladesh,1479710
Fiji,India,309359
Fiji,Malaysia,33141
Fiji,Kenya,7338
Fiji,South Africa,5123
Fiji,Spain,4552
Fiji,Ghana,3961
Fiji,Philippines,1639
Fiji,Germany,1056
Fiji,Netherlands,841
Fiji,France,532
Fiji,Belgium,450
Finland,Viet Nam,17552969
Finland,India,6080900
Finland,Kenya,3858971
Finland,Ghana,1382936
Finland,Finland,1151976
Finland,Belgium,948035
Finland,Philippines,819151
Finland,Lithuania,623591
Finland,Uganda,584818
Finland,Cameroon,565279
Finland,Tanzania,529585
Finland,Germany,515586
Finland,Spain,492003
Finland,Benin,433111
Finland,Italy,325801
Finland,Bangladesh,309231
Finland,Senegal,195870
Finland,C̫te d'Ivoire,163884
Finland,Portugal,130420
Finland,Estonia,128741
Finland,Netherlands,121285
Finland,"Congo, Democratic Republic of the",105002
Finland,Egypt,93185
Finland,France,70473
Finland,Malaysia,65684
Finland,Mozambique,57304
Finland,Latvia,49468
Finland,Rwanda,45673
Finland,South Africa,21516
Finland,Liberia,21194
Finland,Austria,20963
Finland,Mali,7993
Finland,Indonesia,5609
Finland,Gabon,5426
Finland,Zambia,3180
Finland,Ireland,3068
Finland,Malawi,3040
Finland,Sierra Leone,2267
Finland,Zimbabwe,987
Finland,Luxembourg,834
Finland,Guinea,797
Finland,Burundi,652
Finland,Gambia,316
Finland,Togo,217
Finland,Ethiopia,139
Finland,Bulgaria, -   
France,France,449295360
France,Belgium,124768513
France,Cameroon,117370792
France,Bangladesh,111531105
France,Benin,104948556
France,Senegal,102909946
France,C̫te d'Ivoire,89041027
France,Spain,55577069
France,Viet Nam,50313113
France,Portugal,34615255
France,Mali,33372052
France,Germany,30181001
France,Lithuania,22396689
France,Gabon,20526949
France,Italy,13352679
France,India,8993160
France,United Kingdom,8278841
France,Kenya,7575333
France,Ghana,7065413
France,Philippines,5055439
France,"Congo, Democratic Republic of the",4517969
France,Netherlands,3393459
France,Tanzania,2566990
France,Uganda,2405879
France,Luxembourg,1528307
France,Turkey,1279172
France,Mozambique,1205349
France,Austria,1174200
France,Haiti,1042240
France,Mongolia,786312
France,Egypt,785871
France,Brazil,714057
France,Burkina Faso,569066
France,Latvia,476446
France,Malaysia,367502
France,Tunisia,256400
France,Guinea,254545
France,Finland,219459
France,Bulgaria,205721
France,Ireland,175835
France,Estonia,175299
France,Liberia,139364
France,South Africa,126383
France,Guinea-Bissau,121004
France,Pakistan,80785
France,Gambia,65118
France,Nepal,64280
France,Nigeria,48311
France,Rwanda,46358
France,Sri Lanka,46172
France,Indonesia,37735
France,Sierra Leone,26167
France,Togo,25812
France,Zimbabwe,25153
France,Ethiopia,23936
France,Burundi,23904
France,Thailand,22145
France,Colombia,14645
France,French Guiana,12584
France,Malawi,9639
France,Guadeloupe,9598
France,Malta,5420
France,Zambia,4889
France,South Sudan,4360
France,Cyprus,2344
France,Congo,748
France,Mexico,181
France,United States of America,68
France,Greece,58
France,Ecuador,51
France,United Arab Emirates,41
France,Australia,32
France,Qatar,32
France,Lebanon,30
France,Georgia,30
France,Ukraine,28
France,Honduras,27
France,El Salvador,27
France,Peru,22
France,Cambodia,22
France,Japan,22
France,Argentina,21
France,Lao People's Democratic Republic,20
France,China,20
France,Bahrain,19
France,Uruguay,17
France,Singapore,16
France,Botswana,16
France,New Zealand,16
France,Canada,15
France,Dominican Republic,12
France,Nicaragua,12
France,Bolivia (Plurinational State of),12
France,Madagascar,11
France,"Korea, Republic of",11
France,Azerbaijan,10
France,Israel,10
France,Guatemala,9
France,Myanmar,9
France,Chile,8
France,Costa Rica,7
France,Equatorial Guinea,7
France,Lesotho,7
France,Central African Republic,7
France,Chad,5
France,Jamaica,5
France,Comoros,4
France,Iraq,4
France,Mauritania,3
France,Tajikistan,3
France,Paraguay,3
France,Brunei Darussalam,2
France,Albania,2
France,Panama,2
France,Hong Kong,1
France,Poland,0
French Guiana,Viet Nam,26377
French Guiana,France,24729
French Guiana,Uganda,11356
French Guiana,Ghana,6632
French Guiana,Portugal,5387
French Guiana,Belgium,3885
French Guiana,Germany,3754
French Guiana,Kenya,268
French Guiana,Spain,59
French Polynesia,Viet Nam,23039
French Polynesia,Kenya,980
Gabon,Senegal,1556809
Gabon,France,696724
Gabon,Mali,33413
Gabon,Belgium,7149
Gabon,Italy,4976
Gabon,Benin,4508
Gabon,Germany,4103
Gabon,Spain,3199
Gabon,Viet Nam,1633
Gabon,India,1455
Gabon,C̫te d'Ivoire,1265
Gabon,Ghana,924
Gabon,Cameroon,555
Gabon,Uganda,67
Gabon,Kenya,50
Gabon,Burkina Faso,10
Gabon,Guinea-Bissau,2
Gabon,Togo,2
Gabon,Central African Republic,2
Gabon,Congo,2
Gambia,United Kingdom,72730
Gambia,Senegal,34103
Gambia,Ghana,11103
Gambia,Sierra Leone,8863
Gambia,Mali,7283
Gambia,Cameroon,6132
Gambia,Pakistan,5441
Gambia,Kenya,3305
Gambia,Nigeria,2551
Gambia,Italy,2490
Gambia,United States of America,2445
Gambia,China,2211
Gambia,Benin,1703
Gambia,Burkina Faso,1063
Gambia,C̫te d'Ivoire,485
Gambia,Liberia,305
Gambia,Guinea,132
Gambia,Mauritania,80
Gambia,India,43
Gambia,South Africa,42
Gambia,Canada,18
Gambia,United Arab Emirates,1
Gambia,Turkey,0
Georgia,Viet Nam,467823
Georgia,Kenya,39495
Georgia,Italy,5153
Georgia,Ghana,4021
Georgia,Uganda,3638
Georgia,Tanzania,1029
Georgia,India,84
Germany,Viet Nam,196201152
Germany,Germany,108467278
Germany,Kenya,53744055
Germany,Ghana,31083381
Germany,Bangladesh,28415599
Germany,Belgium,23851252
Germany,Lithuania,22385522
Germany,India,21816642
Germany,Cameroon,19613391
Germany,Spain,16203785
Germany,Uganda,11697389
Germany,Tanzania,10055076
Germany,Senegal,9055311
Germany,Portugal,8259231
Germany,Italy,7024654
Germany,Mozambique,5817590
Germany,United Kingdom,5062316
Germany,Philippines,4461661
Germany,C̫te d'Ivoire,3968276
Germany,Benin,3406216
Germany,Austria,3272232
Germany,France,2508534
Germany,Luxembourg,2146437
Germany,Netherlands,2071722
Germany,Latvia,1644067
Germany,Egypt,1412437
Germany,Mali,1259358
Germany,"Congo, Democratic Republic of the",763972
Germany,Malaysia,486681
Germany,Bulgaria,483371
Germany,Gabon,449674
Germany,Brazil,360519
Germany,Ireland,282101
Germany,Mongolia,275597
Germany,Estonia,244220
Germany,Burkina Faso,201342
Germany,Finland,197410
Germany,South Africa,190471
Germany,Gambia,162046
Germany,Rwanda,161597
Germany,Liberia,109937
Germany,Zimbabwe,106143
Germany,Sierra Leone,95473
Germany,Nigeria,87355
Germany,Malta,86348
Germany,Indonesia,84900
Germany,Guinea,53566
Germany,Tunisia,51897
Germany,Zambia,49016
Germany,Guinea-Bissau,45200
Germany,Haiti,28530
Germany,Turkey,23041
Germany,Malawi,21272
Germany,Thailand,21221
Germany,Ethiopia,13200
Germany,Togo,10368
Germany,Burundi,8619
Germany,United States of America,6418
Germany,Colombia,5816
Germany,Canada,3853
Germany,Nepal,3078
Germany,Cyprus,2628
Germany,Sri Lanka,2435
Germany,French Guiana,384
Germany,Morocco,17
Germany,Australia,1
Ghana,Ghana,6761536
Ghana,Kenya,148845
Ghana,Viet Nam,28673
Ghana,Tanzania,13521
Ghana,Uganda,9007
Ghana,"Congo, Democratic Republic of the",123
Gibraltar,Kenya,66489
Gibraltar,Benin,65095
Gibraltar,Spain,42399
Gibraltar,France,27013
Gibraltar,Viet Nam,11306
Gibraltar,India,11175
Gibraltar,Ghana,6763
Gibraltar,Malaysia,2906
Gibraltar,Austria,1163
Gibraltar,Portugal,1043
Gibraltar,Tanzania,647
Gibraltar,Belgium,554
Gibraltar,Netherlands,462
Gibraltar,Lithuania,351
Gibraltar,Uganda,34
Gibraltar,Germany,29
Greece,Bangladesh,80068914
Greece,Belgium,7059451
Greece,Lithuania,5442304
Greece,Germany,4069883
Greece,Spain,2094896
Greece,Italy,1790546
Greece,Senegal,1065176
Greece,India,991385
Greece,Portugal,975282
Greece,France,826890
Greece,Netherlands,769688
Greece,Austria,388030
Greece,Viet Nam,378548
Greece,Kenya,265913
Greece,Philippines,232892
Greece,Bulgaria,200917
Greece,Benin,147352
Greece,Ghana,128033
Greece,Ireland,76086
Greece,Finland,66604
Greece,Latvia,65274
Greece,Luxembourg,43499
Greece,Estonia,40601
Greece,Cameroon,33489
Greece,Tanzania,33372
Greece,Uganda,30539
Greece,Cyprus,29166
Greece,United Kingdom,5055
Greece,Tunisia,3145
Greece,Gambia,2568
Greece,"Congo, Democratic Republic of the",2522
Greece,C̫te d'Ivoire,1562
Greece,Malaysia,928
Greece,Indonesia,780
Greece,Sri Lanka,760
Greece,Sierra Leone,435
Greece,Rwanda,242
Greece,Ethiopia,239
Greece,Zambia,180
Greece,Togo,49
Greece,Colombia,13
Greenland,Kenya,801
Grenada,Viet Nam,408
Grenada,Kenya,294
Grenada,Ghana,11
Guadeloupe,Viet Nam,24887
Guadeloupe,France,3144
Guadeloupe,Kenya,1664
Guadeloupe,Uganda,797
Guadeloupe,Tanzania,378
Guadeloupe,Ghana,178
Guam,Philippines,541454
Guam,Malaysia,233
Guam,Ghana,191
Guam,Italy,106
Guatemala,Mexico,210869
Guatemala,Spain,149730
Guatemala,Netherlands,54508
Guatemala,Viet Nam,29074
Guatemala,United States of America,10447
Guatemala,Kenya,10254
Guatemala,Italy,4065
Guatemala,France,1564
Guatemala,Germany,450
Guatemala,Belgium,419
Guatemala,Brazil,1
Guatemala,"Korea, Republic of",0
Guernsey,Kenya,200114
Guernsey,Uganda,140552
Guernsey,Tanzania,39794
Guernsey,Viet Nam,17882
Guernsey,Ghana,3939
Guernsey,Philippines,888
Guernsey,Zimbabwe,200
Guinea,Senegal,4342
Guinea,Viet Nam,74
Guinea-Bissau,France,30989
Guinea-Bissau,India,21084
Guinea-Bissau,Spain,20777
Guinea-Bissau,Germany,12042
Guinea-Bissau,Portugal,9450
Guinea-Bissau,Tunisia,777
Guinea-Bissau,Italy,159
Guyana,India,289223
Guyana,Italy,21211
Guyana,Lithuania,11232
Guyana,Portugal,8545
Guyana,Kenya,2009
Guyana,Germany,639
Guyana,Netherlands,450
Guyana,Ghana,392
Guyana,Uganda,324
Guyana,Viet Nam,105
Guyana,Benin,100
Haiti,France,320394
Haiti,Spain,11397
Haiti,Belgium,8831
Haiti,Uganda,6085
Haiti,Italy,1884
Haiti,India,1066
Haiti,Viet Nam,991
Haiti,Kenya,336
Haiti,Ghana,39
Honduras,Spain,4485
Honduras,Uganda,894
Honduras,Viet Nam,757
Honduras,Kenya,183
Hong Kong,Philippines,1722181320
Hong Kong,Viet Nam,9110518
Hong Kong,United Kingdom,8249574
Hong Kong,Malaysia,3940931
Hong Kong,Kenya,2887925
Hong Kong,Ghana,2215950
Hong Kong,Uganda,703818
Hong Kong,France,582306
Hong Kong,India,450505
Hong Kong,Tanzania,439808
Hong Kong,Italy,388896
Hong Kong,Spain,355905
Hong Kong,Germany,352420
Hong Kong,Sri Lanka,299022
Hong Kong,Netherlands,188264
Hong Kong,Belgium,154851
Hong Kong,Cameroon,142023
Hong Kong,Portugal,124564
Hong Kong,South Africa,102603
Hong Kong,Egypt,75696
Hong Kong,Bangladesh,64092
Hong Kong,Senegal,58852
Hong Kong,Lithuania,55932
Hong Kong,Canada,43231
Hong Kong,Finland,43163
Hong Kong,Austria,36134
Hong Kong,Thailand,23844
Hong Kong,Mali,23211
Hong Kong,Pakistan,22967
Hong Kong,Indonesia,18881
Hong Kong,C̫te d'Ivoire,18625
Hong Kong,Hong Kong,13830
Hong Kong,Benin,10654
Hong Kong,Liberia,10105
Hong Kong,Zimbabwe,8046
Hong Kong,Turkey,7131
Hong Kong,Guinea,5856
Hong Kong,Luxembourg,5126
Hong Kong,Australia,4397
Hong Kong,Mozambique,4202
Hong Kong,Estonia,3770
Hong Kong,Latvia,3178
Hong Kong,Nigeria,1386
Hong Kong,Singapore,1150
Hong Kong,"Congo, Democratic Republic of the",900
Hong Kong,Malawi,128
Hong Kong,"Korea, Republic of",92
Hong Kong,Mexico,77
Hong Kong,Colombia,71
Hong Kong,United States of America,59
Hong Kong,Brazil,2
Hong Kong,United Arab Emirates,1
Hong Kong,Cambodia,1
Hungary,Viet Nam,16009893
Hungary,Kenya,1314207
Hungary,Ghana,667569
Hungary,India,618095
Hungary,Benin,498708
Hungary,Tanzania,301790
Hungary,Uganda,297216
Hungary,Mongolia,141143
Hungary,Bangladesh,107189
Hungary,Philippines,82401
Hungary,Cameroon,28145
Hungary,C̫te d'Ivoire,19107
Hungary,Indonesia,18774
Hungary,Lithuania,7174
Hungary,Austria,4173
Hungary,Rwanda,2946
Hungary,Belgium,1981
Hungary,France,1618
Hungary,Spain,970
Hungary,Senegal,894
Hungary,Germany,828
Hungary,Mozambique,357
Hungary,Sierra Leone,130
Iceland,India,10651127
Iceland,Viet Nam,569256
Iceland,Ghana,417264
Iceland,Kenya,379479
Iceland,Benin,108217
Iceland,Philippines,100306
Iceland,Spain,58097
Iceland,Senegal,50625
Iceland,C̫te d'Ivoire,35557
Iceland,Cameroon,31786
Iceland,Bangladesh,17348
Iceland,Italy,17330
Iceland,Lithuania,7771
Iceland,Tanzania,7180
Iceland,Germany,7146
Iceland,Belgium,5895
Iceland,Uganda,4683
Iceland,Portugal,2837
Iceland,Netherlands,2126
Iceland,Finland,1297
Iceland,France,1140
Iceland,Latvia,978
Iceland,Rwanda,347
Iceland,Zambia,50
Iceland,Mozambique,32
India,United Kingdom,53295344
India,Germany,3950080
India,Netherlands,2177845
India,France,2157713
India,Lithuania,1822010
India,Belgium,973805
India,Spain,710208
India,Viet Nam,617417
India,Portugal,588090
India,Austria,440338
India,Luxembourg,430000
India,Italy,369806
India,Finland,324145
India,Kenya,265181
India,Uganda,154205
India,Ireland,133670
India,Latvia,56177
India,Ghana,38942
India,Estonia,31648
India,Tanzania,22572
India,Egypt,10443
India,South Africa,6067
India,Bulgaria,4884
India,Pakistan,3222
India,Canada,1
India,India,1
Indonesia,Malaysia,3322736
Indonesia,Viet Nam,3267136
Indonesia,Tanzania,445975
Indonesia,Kenya,393246
Indonesia,Ghana,82526
Indonesia,Uganda,71006
Indonesia,Netherlands,68560
Indonesia,South Africa,66959
Indonesia,Spain,23102
Indonesia,France,11266
Indonesia,Italy,4881
Indonesia,Philippines,4459
Indonesia,Austria,3355
Indonesia,Germany,3183
Indonesia,Portugal,2219
Indonesia,Belgium,1735
Indonesia,Lithuania,373
Indonesia,Latvia,83
Indonesia,Estonia,19
Indonesia,Egypt, -   
Iraq,Uganda,3793981
Iraq,Bangladesh,1244243
Iraq,Egypt,1197853
Iraq,Germany,970511
Iraq,Belgium,648242
Iraq,Malaysia,553331
Iraq,Spain,552536
Iraq,Ghana,523910
Iraq,Lithuania,373328
Iraq,Netherlands,260680
Iraq,Italy,173108
Iraq,Portugal,161970
Iraq,India,157667
Iraq,France,156097
Iraq,Luxembourg,147990
Iraq,Austria,78577
Iraq,Nepal,52800
Iraq,Benin,45926
Iraq,Finland,38689
Iraq,Indonesia,26886
Iraq,United Kingdom,17402
Iraq,Cameroon,15769
Iraq,Nigeria,5314
Iraq,Ethiopia,4612
Iraq,Czechia,3474
Iraq,Cyprus,3293
Iraq,Tanzania,3267
Iraq,C̫te d'Ivoire,2758
Iraq,Philippines,2096
Iraq,Bahrain,1996
Iraq,Sri Lanka,1928
Iraq,Sweden,1718
Iraq,Kenya,1638
Iraq,Bulgaria,1471
Iraq,Ireland,1464
Iraq,Turkey,1063
Iraq,Poland,845
Iraq,Morocco,791
Iraq,Estonia,564
Iraq,Pakistan,466
Iraq,Senegal,144
Iraq,"Congo, Democratic Republic of the",50
Iraq,United Arab Emirates,10
Iraq,Brazil,10
Iraq,Thailand,10
Ireland,India,14914217
Ireland,Viet Nam,12851373
Ireland,Bangladesh,6573920
Ireland,Philippines,4553250
Ireland,Kenya,3488657
Ireland,United Kingdom,2887196
Ireland,Ireland,1965496
Ireland,Ghana,1506933
Ireland,Cameroon,1064471
Ireland,Tanzania,868353
Ireland,Uganda,855480
Ireland,Spain,680429
Ireland,Lithuania,620271
Ireland,Mongolia,458962
Ireland,Belgium,420203
Ireland,Italy,406749
Ireland,Portugal,324962
Ireland,Brazil,305787
Ireland,Germany,302916
Ireland,Benin,243575
Ireland,Latvia,239120
Ireland,C̫te d'Ivoire,218341
Ireland,France,192538
Ireland,"Congo, Democratic Republic of the",186824
Ireland,Egypt,183296
Ireland,Malaysia,183144
Ireland,Mozambique,177102
Ireland,Netherlands,120641
Ireland,Senegal,113777
Ireland,South Africa,75912
Ireland,Zimbabwe,69384
Ireland,Bulgaria,61742
Ireland,Austria,53731
Ireland,Liberia,30206
Ireland,Estonia,21083
Ireland,Luxembourg,19329
Ireland,Cyprus,18054
Ireland,Malta,17350
Ireland,Finland,15433
Ireland,Zambia,12613
Ireland,Malawi,10598
Ireland,Indonesia,10588
Ireland,Mali,7875
Ireland,Thailand,4280
Ireland,Rwanda,2952
Ireland,Ethiopia,2716
Ireland,Togo,2017
Ireland,Sierra Leone,1911
Ireland,Guinea,1804
Ireland,Tunisia,1643
Ireland,Burkina Faso,1204
Ireland,Burundi,442
Ireland,Nigeria,287
Ireland,Haiti,279
Ireland,Gambia,235
Ireland,Gabon,109
Ireland,Colombia,12
Isle of Man,Viet Nam,176518
Isle of Man,Kenya,163081
Isle of Man,Uganda,38984
Isle of Man,Tanzania,7773
Isle of Man,Ghana,2117
Israel,India,262803942
Israel,Philippines,46488318
Israel,Thailand,43405347
Israel,China,32649449
Israel,Uganda,12875559
Israel,Tanzania,8675247
Israel,Nigeria,8363616
Israel,Kenya,7805566
Israel,Rwanda,5367315
Israel,Ghana,2988861
Israel,United Kingdom,1317204
Israel,Malawi,1125638
Israel,Germany,662891
Israel,Belgium,592076
Israel,Spain,419300
Israel,Portugal,360606
Israel,Netherlands,357159
Israel,Zambia,302593
Israel,France,298974
Israel,Greece,283821
Israel,Lithuania,257946
Israel,Italy,233823
Israel,Viet Nam,214441
Israel,South Africa,131899
Israel,Finland,90414
Israel,Austria,84042
Israel,Poland,71479
Israel,Benin,70938
Israel,Latvia,68133
Israel,Liberia,56870
Israel,Switzerland,48606
Israel,Cyprus,47243
Israel,Togo,44268
